,Indicator,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21  (YoY  over  Apr-20),Apr-21  (YoY  over  Apr-19)
0,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,Agriculture
1,Tractor sales (Numbers),31232,11827,60441,92888,63137,64729,108585,115155,82330,61249,78345,75645,85076,,
2,Fertilisers sales (Lakh MT),29,21,40,69,92,69,47,49,66,74,61,46,42,,
3,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry
4,8-Core Industries (Index),134,81,108,116,123,120,121,127,127,136,139,128,143,,
5,IIP-Consumer Durable goods,83,6,40,78,99,110,129,134,113,124,124,,,,
6,IIP-Consumer Non-Durable goods,122,73,135,148,149,140,147,149,148,159,148,,,,
7,Domestic Auto sales #  (Lakh),10,0,3,11,15,18,21,24,19,14,17,17,18,,
8,Passenger vehicles sales (Lakh),1.4,0.0,0.3,1.1,1.8,2.2,2.7,3.1,2.6,2.5,2.8,2.8,2.9,,
9,Non-oil exports (USD Billion),19.0,8.9,17.5,20.1,22.0,20.9,24.0,23.3,22.0,24.8,25.3,25.2,30.8,26.9,26.9
10,Non-oil non gold imports (USD Bn),20.2,12.4,19.2,15.7,20.7,20.9,24.1,25.1,24.1,28.5,28.5,26.3,29.6,26.1,26.1
11,PMI Manufacturing (Index),51.8,27.4,30.8,47.2,46.0,52.0,56.8,58.9,56.3,56.4,57.7,57.5,55.4,55.5,55.5
12,Power supply (Mega Units),107,92,110,114,122,119,122,119,106,115,111,105,123,119,119
13,Natural gas production (Mn. Cu. Mt),2327,2066,2215,2250,2369,2363,2228,2348,2263,2355,2478,2235,2612,,
14,Cement production ('000 Tonnes),24818,4305,22443,26358,24247,20871,24244,27030,25256,28266,29563,29038,32874,,
15,Steel consumption ('000 Tonnes),6742,1091,4789,6350,7634,7963,8179,9192,9076,10163,10025,9266,8736,,
16,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services
17,Domestic air passenger traffic (Lakh),150,0,6,39,40,56,78,103,125,144,152,154,,,
18,Port cargo traffic (Million Tonnes),61,47,45,49,51,52,54,56,59,63,64,59,72,,
19,Rail freight traffic (Tonnes),103070,65400,82580,93580,95180,94630,102300,108260,110110,118290,119790,112330,122190,,
20,PMI Services (Index),49.3,5.4,12.6,33.7,34.2,41.8,49.8,54.1,53.7,52.3,52.8,55.3,54.6,54.0,54.0
21,Fuel consumption (Thousand MT),15931,9403,15374,16093,15604,14434,15477,17768,17867,18618,18010,17212,18775,,
22,UPI Digital Payments (Rs Lakh Crore),2.1,1.5,2.2,2.6,2.9,3.0,3.3,3.9,3.9,4.2,4.3,4.3,5.0,4.9,4.9
23,UPI Digital Payments (Crore),125,100,123,134,150,162,180,207,221,223,230,229,273,264,264
